[2024-03-31 21:38:42,252: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-31 21:38:52,466: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-31 21:38:53,048: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-03-31 21:38:53,049: INFO: main: *******************]
[2024-03-31 21:38:53,049: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2024-03-31 21:38:53,053: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-31 21:38:53,056: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-31 21:38:53,057: INFO: common: created directory at: artifacts]
[2024-03-31 21:38:53,058: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-03-31 21:38:53,590: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-03-31 21:38:53,880: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2024-03-31 21:38:53,880: INFO: main: *******************]
[2024-03-31 21:38:53,881: INFO: main: >>>>>> stage Training started <<<<<<]
[2024-03-31 21:38:53,884: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-31 21:38:53,886: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-31 21:38:53,886: INFO: common: created directory at: artifacts]
[2024-03-31 21:38:53,887: INFO: common: created directory at: artifacts\training]
[2024-03-31 21:39:40,535: INFO: main: >>>>>> stage Training completed <<<<<<

x==========x]
[2024-03-31 21:39:40,536: INFO: main: *******************]
[2024-03-31 21:39:40,537: INFO: main: >>>>>> stage Evaluation stage started <<<<<<]
[2024-03-31 21:39:40,541: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-31 21:39:40,543: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-31 21:39:40,544: INFO: common: created directory at: artifacts]
[2024-03-31 21:39:55,417: INFO: common: json file saved at: scores.json]
[2024-03-31 21:39:55,418: INFO: common: json file saved at: scores.json]
[2024-03-31 21:39:58,959: WARNING: save: Found untraced functions such as _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op while saving (showing 5 of 14). These functions will not be directly callable after loading.]
[2024-03-31 21:39:59,560: INFO: builder_impl: Assets written to: C:\Users\KIIT\AppData\Local\Temp\tmpf2je9p09\model\data\model\assets]
[2024-03-31 21:41:02,899: ERROR: main: API request to endpoint /api/2.0/mlflow/registered-models/create failed with error code 403 != 200. Response body: '']
Traceback (most recent call last):
  File "main.py", line 56, in <module>
    model_evalution.main()
  File "u:\kidney-disease-classification\src\cnnClassifier\pipeline\stage_04_model_evaluation.py", line 20, in main
    evaluation.log_into_mlflow()
  File "u:\kidney-disease-classification\src\cnnClassifier\components\model_evaluation_mlflow.py", line 72, in log_into_mlflow
    mlflow.keras.log_model(self.model, "model", registered_model_name="VGG16Model")
  File "C:\Users\KIIT\anaconda3\envs\kidney\lib\site-packages\mlflow\tensorflow\__init__.py", line 222, in log_model
    return Model.log(
  File "C:\Users\KIIT\anaconda3\envs\kidney\lib\site-packages\mlflow\models\model.py", line 562, in log
    mlflow.register_model(
  File "C:\Users\KIIT\anaconda3\envs\kidney\lib\site-packages\mlflow\tracking\_model_registry\fluent.py", line 77, in register_model
    raise e
  File "C:\Users\KIIT\anaconda3\envs\kidney\lib\site-packages\mlflow\tracking\_model_registry\fluent.py", line 68, in register_model
    create_model_response = client.create_registered_model(name)
  File "C:\Users\KIIT\anaconda3\envs\kidney\lib\site-packages\mlflow\tracking\client.py", line 1743, in create_registered_model
    return self._get_registry_client().create_registered_model(name, tags, description)
  File "C:\Users\KIIT\anaconda3\envs\kidney\lib\site-packages\mlflow\tracking\_model_registry\client.py", line 63, in create_registered_model
    return self.store.create_registered_model(name, tags, description)
  File "C:\Users\KIIT\anaconda3\envs\kidney\lib\site-packages\mlflow\store\model_registry\rest_store.py", line 75, in create_registered_model
    response_proto = self._call_endpoint(CreateRegisteredModel, req_body)
  File "C:\Users\KIIT\anaconda3\envs\kidney\lib\site-packages\mlflow\store\model_registry\base_rest_store.py", line 42, in _call_endpoint
    return call_endpoint(self.get_host_creds(), endpoint, method, json_body, response_proto)
  File "C:\Users\KIIT\anaconda3\envs\kidney\lib\site-packages\mlflow\utils\rest_utils.py", line 281, in call_endpoint
    response = verify_rest_response(response, endpoint)
  File "C:\Users\KIIT\anaconda3\envs\kidney\lib\site-packages\mlflow\utils\rest_utils.py", line 213, in verify_rest_response
    raise MlflowException(
mlflow.exceptions.MlflowException: API request to endpoint /api/2.0/mlflow/registered-models/create failed with error code 403 != 200. Response body: ''
[2024-03-31 21:42:37,234: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-03-31 21:42:37,237: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-31 21:42:37,240: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-31 21:42:37,241: INFO: common: created directory at: artifacts]
[2024-03-31 21:42:37,241: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-31 21:42:37,242: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-31 21:42:47,540: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-31 21:42:47,982: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-03-31 21:42:47,983: INFO: main: *******************]
[2024-03-31 21:42:47,983: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2024-03-31 21:42:47,986: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-31 21:42:47,987: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-31 21:42:47,989: INFO: common: created directory at: artifacts]
[2024-03-31 21:42:47,990: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-03-31 21:42:48,389: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-03-31 21:42:48,652: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2024-03-31 21:42:48,653: INFO: main: *******************]
[2024-03-31 21:42:48,654: INFO: main: >>>>>> stage Training started <<<<<<]
[2024-03-31 21:42:48,657: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-31 21:42:48,659: INFO: common: yaml file: params.yaml loaded successfully]
